User ID#10,Item ID#9,Context #8
User ID#9,Item ID#2,Context #9
User ID#1,Item ID#8,Context #5
User ID#8,Item ID#5,Context #4
User ID#10,Item ID#4,Context #5
User ID#2,Item ID#4,Context #10
User ID#2,Item ID#6,Context #4
User ID#2,Item ID#1,Context #4
User ID#10,Item ID#5,Context #2
User ID#10,Item ID#10,Context #5
User ID#8,Item ID#9,Context #8
User ID#5,Item ID#4,Context #8
User ID#5,Item ID#1,Context #6
User ID#10,Item ID#10,Context #2
User ID#10,Item ID#3,Context #9
User ID#5,Item ID#8,Context #3
User ID#1,Item ID#6,Context #2
User ID#7,Item ID#8,Context #5
User ID#4,Item ID#9,Context #2
User ID#5,Item ID#3,Context #1
User ID#5,Item ID#5,Context #6
User ID#2,Item ID#6,Context #6
User ID#2,Item ID#4,Context #6
User ID#1,Item ID#7,Context #3
User ID#10,Item ID#5,Context #7
User ID#1,Item ID#9,Context #9
User ID#8,Item ID#1,Context #10
User ID#9,Item ID#4,Context #6
User ID#5,Item ID#6,Context #9
User ID#10,Item ID#9,Context #4
User ID#8,Item ID#5,Context #7
User ID#10,Item ID#1,Context #6
User ID#5,Item ID#9,Context #2
User ID#9,Item ID#6,Context #3
User ID#4,Item ID#6,Context #4
User ID#10,Item ID#4,Context #4
User ID#1,Item ID#2,Context #8
User ID#7,Item ID#6,Context #1
User ID#1,Item ID#1,Context #5
User ID#6,Item ID#4,Context #10
User ID#8,Item ID#7,Context #8
User ID#9,Item ID#10,Context #3
User ID#8,Item ID#9,Context #7
User ID#8,Item ID#8,Context #9
User ID#1,Item ID#4,Context #6
User ID#7,Item ID#8,Context #7
User ID#8,Item ID#4,Context #5
User ID#6,Item ID#5,Context #2
User ID#3,Item ID#7,Context #7
User ID#7,Item ID#8,Context #4
User ID#1,Item ID#4,Context #8
User ID#3,Item ID#3,Context #1
User ID#5,Item ID#10,Context #3
User ID#9,Item ID#5,Context #5
User ID#3,Item ID#3,Context #2
User ID#4,Item ID#6,Context #4
User ID#8,Item ID#7,Context #7
User ID#7,Item ID#8,Context #8
User ID#8,Item ID#9,Context #10
User ID#6,Item ID#1,Context #4
User ID#5,Item ID#5,Context #9
User ID#10,Item ID#6,Context #10
User ID#2,Item ID#9,Context #10
User ID#6,Item ID#2,Context #4
User ID#5,Item ID#3,Context #2
User ID#3,Item ID#3,Context #2
User ID#8,Item ID#4,Context #6
User ID#4,Item ID#4,Context #7
User ID#4,Item ID#10,Context #1
User ID#8,Item ID#10,Context #2
User ID#9,Item ID#8,Context #6
User ID#9,Item ID#8,Context #4
User ID#6,Item ID#6,Context #5
User ID#7,Item ID#7,Context #4
User ID#1,Item ID#9,Context #8
User ID#1,Item ID#5,Context #5
User ID#8,Item ID#1,Context #3
User ID#10,Item ID#1,Context #5
User ID#4,Item ID#1,Context #1
User ID#7,Item ID#1,Context #4
User ID#8,Item ID#8,Context #3
User ID#9,Item ID#2,Context #8
User ID#8,Item ID#9,Context #4
User ID#10,Item ID#10,Context #3
User ID#6,Item ID#8,Context #8
User ID#6,Item ID#9,Context #9
User ID#6,Item ID#9,Context #9
User ID#4,Item ID#6,Context #3
User ID#5,Item ID#8,Context #3
User ID#8,Item ID#4,Context #5
User ID#5,Item ID#6,Context #6
User ID#10,Item ID#9,Context #4
User ID#10,Item ID#1,Context #2
User ID#7,Item ID#6,Context #8
User ID#5,Item ID#5,Context #8
User ID#6,Item ID#6,Context #5
User ID#5,Item ID#1,Context #6
User ID#3,Item ID#5,Context #4
User ID#2,Item ID#5,Context #5
User ID#1,Item ID#3,Context #1
User ID#10,Item ID#2,Context #1
User ID#6,Item ID#6,Context #10
User ID#1,Item ID#4,Context #6
User ID#4,Item ID#5,Context #2
User ID#1,Item ID#1,Context #4
User ID#1,Item ID#10,Context #8
User ID#1,Item ID#2,Context #2
User ID#6,Item ID#3,Context #4
User ID#9,Item ID#5,Context #1
User ID#1,Item ID#9,Context #10
User ID#10,Item ID#9,Context #10
User ID#7,Item ID#4,Context #6
User ID#10,Item ID#9,Context #5
User ID#6,Item ID#2,Context #8
User ID#10,Item ID#6,Context #5
User ID#5,Item ID#6,Context #5
